21
8.72	51.80	31.78	25.29	85.95	43.49	8.51	10.04	44.50	81.65
51.87	3.91	30.86	24.92	97.88	24.82	2.31	67.93	35.75	52.67
35.70	58.58	83.57	85.05	35.75	61.89	25.06	14.14	24.55	2.94
92.59	4.49	60.91	32.29	88.37	1.47	37.26	88.48	58.97	3.53
52.99	82.78	54.11	11.88	23.40	56.00	42.96	33.21	34.55	73.39
6.72	4.88	20.19	10.35	70.31	66.98	30.06	24.34	46.71	8.48
76.72	93.16	20.87	57.35	77.73	31.46	66.19	18.10	96.51	96.83
14.64	25.27	92.42	72.94	94.66	4.01	94.13	93.47	31.95	89.83
62.65	69.20	88.42	29.54	27.72	76.70	90.10	32.27	3.01	37.36
43.20	0.02	34.66	45.62	34.75	14.84	7.52	45.57	50.80	46.27
29.29	50.77	68.28	62.30	77.84	79.38	22.69	9.78	99.00	21.26
85.58	85.73	43.57	24.63	83.06	53.52	31.19	44.20	42.88	53.54
54.59	15.40	80.01	90.06	35.03	75.04	0.98	79.12	79.52	48.40
11.52	32.85	57.36	83.29	29.45	87.38	96.12	30.40	34.19	95.44
13.27	43.08	99.03	26.70	29.87	86.88	99.56	7.66	52.28	0.88
71.60	63.56	26.86	44.06	91.11	87.76	87.10	64.84	88.10	64.35
56.86	39.48	74.91	48.32	57.24	5.61	85.64	63.05	67.03	33.25
53.87	20.16	21.57	24.36	86.77	38.37	57.11	41.06	32.07	15.70
95.61	24.65	91.18	26.74	26.30	59.10	49.88	48.26	54.29	83.42
5.75	40.97	63.47	28.14	48.04	23.45	38.40	19.87	25.83	31.06
26.17	67.13	82.49	56.87	44.98	92.05	97.02	59.45	20.12	26.29
